"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2023","AQS","040130019","1","0.7","ppm","8","WEST PHOENIX","19","79.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/02/2023","AQS","040130019","1","0.4","ppm","5","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/03/2023","AQS","040130019","1","0.6","ppm","7","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/04/2023","AQS","040130019","1","0.8","ppm","9","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/05/2023","AQS","040130019","1","1.1","ppm","13","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/06/2023","AQS","040130019","1","1.5","ppm","17","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/07/2023","AQS","040130019","1","1.7","ppm","19","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/08/2023","AQS","040130019","1","2.1","ppm","24","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/09/2023","AQS","040130019","1","1.8","ppm","20","WEST PHOENIX","11","46.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/18/2023","AQS","040130019","1","0.6","ppm","7","WEST PHOENIX","4","17.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/19/2023","AQS","040130019","1","1.3","ppm","15","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/20/2023","AQS","040130019","1","1","ppm","11","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/21/2023","AQS","040130019","1","0.8","ppm","9","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/22/2023","AQS","040130019","1","1.7","ppm","19","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/23/2023","AQS","040130019","1","0.4","ppm","5","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/24/2023","AQS","040130019","1","0.8","ppm","9","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/25/2023","AQS","040130019","1","1","ppm","11","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/26/2023","AQS","040130019","1","1","ppm","11","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/27/2023","AQS","040130019","1","1.3","ppm","15","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/28/2023","AQS","040130019","1","1.7","ppm","19","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/29/2023","AQS","040130019","1","1.9","ppm","22","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"01/30/2023","AQS","040130019","1","0.6","ppm","7","WEST PHOENIX","10","42.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"02/08/2023","AQS","040130019","1","0.8","ppm","9","WEST PHOENIX","10","42.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"02/09/2023","AQS","040130019","1","1.4","ppm","16","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"02/10/2023","AQS","040130019","1","0.4","ppm","5","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"02/11/2023","AQS","040130019","1","0.7","ppm","8","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"02/12/2023","AQS","040130019","1","0.9","ppm","10","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"02/13/2023","AQS","040130019","1","0.6","ppm","7","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"02/14/2023","AQS","040130019","1","0.4","ppm","5","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"02/15/2023","AQS","040130019","1","0.5","ppm","6","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"02/16/2023","AQS","040130019","1","0.8","ppm","9","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"02/17/2023","AQS","040130019","1","0.5","ppm","6","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"02/18/2023","AQS","040130019","1","0.7","ppm","8","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"02/19/2023","AQS","040130019","1","1.2","ppm","14","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"02/20/2023","AQS","040130019","1","1","ppm","11","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"02/21/2023","AQS","040130019","1","0.5","ppm","6","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"02/22/2023","AQS","040130019","1","0.2","ppm","2","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"02/23/2023","AQS","040130019","1","0.2","ppm","2","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"02/24/2023","AQS","040130019","1","0.6","ppm","7","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"02/25/2023","AQS","040130019","1","1.1","ppm","13","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"02/26/2023","AQS","040130019","1","0.4","ppm","5","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"02/27/2023","AQS","040130019","1","0.7","ppm","8","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"02/28/2023","AQS","040130019","1","0.7","ppm","8","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"03/01/2023","AQS","040130019","1","0.3","ppm","3","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"03/02/2023","AQS","040130019","1","0.3","ppm","3","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"03/03/2023","AQS","040130019","1","0.7","ppm","8","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"03/04/2023","AQS","040130019","1","0.6","ppm","7","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
